trading_date,topic_id,topic_slug,topic_name,status,topic_snapshot,formal_pit_status,member_facts,effective_relation,live_tracking_universe,canonical_daily_bar_close_previous_close,price_source_lineage,previous_stage_bootstrap,authority,reason
2026-01-02,390b351a-37b0-475a-9077-e19c0ec5760e,12 吋矽晶圓,12 吋矽晶圓,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,4bf1ec34-ee86-41f4-b304-385f32ca4fe1,8 吋矽晶圓,8 吋矽晶圓,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,c6c49201-b9a1-45dc-9ef2-f7f1f72eadca,ABF載板,ABF載板,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,94b4ea55-baa4-4c8c-a59e-f367bcc4b648,ADAS,ADAS,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,f2ad60ed-20aa-4055-aff0-601eea1c7055,AI PCB,AI PCB,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,bd275e19-d849-43db-aa5c-7402d4923a46,AI伺服器整機／ODM,AI伺服器整機／ODM,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,a5e71356-ecf8-46c3-91be-66e5151b9d9e,AI影像辨識,AI影像辨識,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,8a97291d-7f21-4884-9010-fb06ef0d5ba8,AI視覺,AI視覺,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,8f2c37cc-fce2-44bc-aa79-23c29889f39a,AI運算與伺服器,AI運算與伺服器,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
2026-01-02,26faa0dd-c3d6-4e33-bf5a-0e4ba9ccb931,AI電力基建,AI電力基建,NOT_RECONSTRUCTABLE,MISSING,MISSING,MISSING,MISSING_PIT_HISTORY,CURRENT_STATE_ONLY_NOT_PIT_SAFE,MISSING,MISSING,NOT_APPLICABLE,HISTORICAL_RECONSTRUCTED_SHADOW,No canonical daily-bar evidence in the source authority window and no PIT TopicSnapshot/member-fact artifact.
