analysis,lifecycle_stage,technical_state,horizon,sample_size,total_feature_rows,coverage,missingness,instrument_count,topic_count,date_count,mean_forward_return,median_forward_return,stdev_forward_return,positive_outcome_rate,p10_forward_return,p25_forward_return,p75_forward_return,p90_forward_return,mean_topic_relative_return,mean_mfe,median_mfe,mean_mae,median_mae,sample_warning,research_only
LIFECYCLE_X_TECHNICAL_EXPECTANCY,SPROUTING,ABOVE_MA60,1,123,123,1,0,88,12,48,0.0138469134114,0.00632911392405,0.0495658650843,0.569105691057,-0.0493805093644,-0.0214954062082,0.0483261732998,0.0974021693064,0.00938269389921,0.0472446886212,0.037323037323,-0.0193394577677,-0.0160098522167,NONE,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,SPROUTING,AT_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,SPROUTING,BELOW_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,SPROUTING,UNKNOWN,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,FERMENTING,ABOVE_MA60,1,646,647,0.998454404946,0.0015455950541,250,35,98,0.0133079633781,0.00468509984639,0.0527620700504,0.526315789474,-0.0485829959514,-0.022193877551,0.0502726571942,0.0987855114759,0.0103163627589,0.0475293763018,0.0383902253494,-0.0180435505284,-0.0196078431373,NONE,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,FERMENTING,AT_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,FERMENTING,BELOW_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,FERMENTING,UNKNOWN,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,MAIN_RISE,ABOVE_MA60,1,924,932,0.991416309013,0.00858369098712,297,62,100,0.0146139844219,0.00754147812971,0.0569953968611,0.554112554113,-0.053905696098,-0.0244713639201,0.0598033803295,0.0992154766555,0.00350542814489,0.0523304320484,0.0494350364964,-0.019334119938,-0.0198857176752,NONE,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,MAIN_RISE,AT_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
LIFECYCLE_X_TECHNICAL_EXPECTANCY,MAIN_RISE,BELOW_MA60,1,0,0,,,0,0,0,,,,,,,,,,,,,,SMALL_SAMPLE_N_LT_30;SAMPLE_SIZE_WARNING_N_LT_100,YES
